No.,Name of the Organization,District of HQs/Physical Address,GEOGRAPHICAL AREA OF COVERAGE,KEY ACTIVITIES/OBJECTIVES,REG NUMBER,PERMIT NUMBER
1,A PEN FOR AFRICA,"BUWAATE LCI, KIRA MUNICIPALITY, WAKISO DISTRICT",WAKISO,"TO ESTABLISH PSYCHOSOCIAL CENTRES OF EXCELLENCY, HEALTH, ADVOCACY, HEALTH AWAREN",INDR13627496NB,INDP000496NB
2,A CHANCE FOR CHILDREN,"MITYANA DISTRICT, ZIGOTI , NORTH LCI , MALANGALA SUB-COUNTY, MITYANA",COUNTRYWIDE,TO ASSIST ORPHANS AND VULNERABLE CHILDREN,INDR80342514NB,INDP77302514NB
3,A CONSORTIUM OF EVANGELICAL MISSIONS IN UGANDA (AC,"P.O. BOX 25904, KAMPALA",COUNTRYWIDE,TO FACILITATE A SUSTAINABLE COMMON FRONT FOR EVANGELICAL CHURCH,INDR13613537NB,INDP000537NB
4,A FUTURE FOR ORPHANS UGANDA,"KAMPALA; NAMUNGOONA, KASUBI, LUBAGA DIVISION",KAMPALA,"TO PROMOTE EARLY CHILDHOOD DEVELOPMENT,VOLUNTEER IN BUILDING,OPERATING AND MANAG",INDR160095191NB,INDP0005191NB
5,A GLOBAL HEALTHCARE PUBLIC FOUNDATION,"KAMPALA; PLOT 12 MAKINDU LANE, KOLOLO, P.O. BOX 75048 KAMPALA",KAMPALA,TO IMPROVE THE QUALITY OF CLINICAL TESTING IN BOTH PUBLIC HEALTH AND DIAGNOSIS,FORR99443163NB,FORP94603163NB
6,A HAND WITH A DIFFERENCE FOUNDATION,"KAMPALA; GENERAL POSTA BUILDING, 3RD FLOOR-KAMPALA ROAD",COUNTRYWIDE,IMPROVING LIVELIHOOD OF THE NEEDY BY PROVIDING FINANCIAL SUPPORT AND SKILLS; ADV,INDR141011489NB,INDP0001489NB
7,A LITTLE BIT OF HOPE,MBALE,"P.O. BOX 125, MBALE",TO SUPPORT THE CHILDREN AND ADULTS THROUGH EDUCATION PROGRAMMES,INDR10664548NB,INDP10219548NB
8,A RISE WOMEN EMPOWERMENT CENTER AFRICA,JINJA; BUGEMBE WANYAMA ROAD; P.O.BOX 2053,JINJA,"TO BUILD A WARENESS,PROMOTE WOMEN EMPOWERMENT,SUSTAINABLE ECONMIC INDEPENDENCE,B",INDR156794804NB,INDP0004804NB
9,A ROCHA UGANDA INITIATIVE,GAYAZA- KYETUME KAYUNGA ROAD,WAKISO,TO INCREASE AWARENESS ABOUT THE IMPORTANCE OF NATURE AND CURRENT ENVIRONMENT DEG,INDR147883263NB,INDP0003263NB
10,A&A SMART SKILLS EMPOWERMENT CENTRE,MBARARA; NTARE RD KIYANJA CELL KAMUKUZI DIV; BOX 1850 MBARARA,MBARARA,"SKILLS DEVELOPMENT, ENVIORNMENTAL CONSERVATION AND PSYCHOSOCIAL SUPPORT",CONR161935425NB,INDP0005425NB
11,ABAANA COMMUNITY OUTREACH AFRICA,WAKISO; GAYAZA KASANGATI TOWN COUNCIL; P.O BOX 28070 KAMPALA,"WAKISO, LWENGO, RAKAI MITYANA",IMPROVING THE STANDRDS OF LIVING OF WOMEN CHILDREN AND OTHER VULNERBALE GROUPS,INDR114863805NB,INDP110133805NB
12,ABAANA'S HOPE,GULU DISTRICT,GULU,TO ADOPT ORPHANS AND ABANDONED CHILDREN,FORR88433561NB,FORP83103561NB
13,ABAHUMUZA DEVELOPMENT GROUP,MBARARA; RWEBIKONA CELL KAMUKUZI WARD; PO BOX 1649 MBARARA,MBARARA,"TO CONSERVE THE ENVIRONMENT, WETLANDS AND NATURAL RESOURCES",INDR159905197NB,INDP0005197NB
14,ABAYUNEKI WOMEN FOUNDATION,KAMPALA; PLOT 1 MAKAJJA PLACENAGURU; P.O. BOX 70543 KAMPALA,KAMPALA,CREATE ENTREPRENERUSHIP SKILLS FOR WOMEN; EDUCATIONAL FOR GIRL CHILD AD SCHOLAST,INDR151033972NB,INDP0003972NB
15,ABBA FATHER'S HOUSE MINISTRIES,JINJA; MPUMUDDE KAMULI RD KYABAZINGA HILL; P.O. BOX 1557 JINJA,JINJA,"CHARITABLE RELIEF TO OVCS, WIDOWS",INDR160825276NB,INDP0005276NB
16,ABBA KINDER INTERNATIONAL MINISTRIES,KAMPALA; BUNAMWAYA-ZANA; P.O. BOX 7191; KAMPALA,KAMPALA,"PROVIDE CARE TO VULNERABLE, DISADVANTAGED CHILDREN, YOUTH, EDUCATION, EVANGELISM",FORR153154355NB,INDP0004355NB
17,ABBA MISSIONS AFRICAN CHILD MINISTRIES,"BUSIA;BUTEBA SUBCOUNTY,ABOCHET,AKOBWAIT,SAMIA BUGWE NORTH,P.O.BOX 154",BUSIA,"TO MOBLIZE,SENSITIZE AND EDUCATE VULNERABLE CHILDREN",INDR161055358NB,INDP0005358NB
18,ABBEY'S HOUSE OF CHILDREN,KAMPALA; KONGE ROAD; P.O. BOX 24655 KAMPALA,KAMPALA,REHABILITATING CHILDREN; EDUCATE CHILDREN ABOUT DRUG ABUSE AND PREACHING THE GOS,INDR142641717NB,INDP0001717NB
19,ABIDE FAMILY CENTRE,JINJA; PLOT 45 KAMULI RD MPUMUDDE; BOX 1075 JINJA,JINJA,TO SUPPORT VULNERABLE FAMILIES THROUGH TEMPRORAY LIVING FACILITIES,INDR98645557NB,INDP98945557NB
20,ABIGAIL FOUNDATION,WAKISO; BULOOLI CELL KYALIWAJALA WARD NAMUGONGO DIV;,WAKISO,"ADVOCATE FOR CHLDREN WITH MENTAL DISABILITY, LIVELIHOODS",INDR162935578NB,INDP0005578NB
